region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid_or_from_rural_hydro_power_project	kerosene_lamp	solar_power_grid_connected	solar_power_standalone	bio_gas	rural_water_supply_project	other
LK	Sri Lanka	Sri Lanka	country	6111315	5987585	95150	8093	5817	244	1230	13196
LK-1	Western	(computed)	province	1703420	1682433	10565	5206	1514	121	288	3293
LK-11	Colombo	Colombo District	district	661822	653295	3366	2900	831	58	192	1180
LK-1103	Colombo	Colombo	dsd	72479	71320	764	62	4	3	29	297
LK-1106	Kolonnawa	Kolonnawa	dsd	56756	55864	428	127	82	5	3	247
LK-1109	Kaduwela	Kaduwela	dsd	80373	79401	194	522	155	3	12	86
LK-1112	Homagama	Homagama	dsd	80298	79855	220	111	52	6	3	51
LK-1115	Seethawaka	Seethawaka	dsd	34798	34331	354	24	17	2	3	67
LK-1118	Padukka	Padukka	dsd	20880	20606	191	26	25	1	4	27
LK-1121	Maharagama	Maharagama	dsd	57114	56267	111	530	111	3	8	84
LK-1124	Sri Jayawardanapura Kotte	Sri Jayawardanapura Kotte	dsd	28243	27604	98	384	93	3	14	47
LK-1127	Thimbirigasyaya	Thimbirigasyaya	dsd	58681	57847	364	282	42	6	81	59
LK-1130	Dehiwala	Dehiwala	dsd	25565	25370	51	96	9	13	7	19
LK-1131	Ratmalana	Ratmalana	dsd	25358	25037	156	99	24	0	12	30
LK-1133	Moratuwa	Moratuwa	dsd	44872	44317	212	179	59	3	14	88
LK-1136	Kesbewa	Kesbewa	dsd	76405	75476	223	458	158	10	2	78
LK-12	Gampaha	Gampaha District	district	688635	680337	4340	1724	479	50	70	1635
LK-1203	Negombo	Negombo	dsd	36300	35895	161	147	39	1	5	52
LK-1206	Katana	Katana	dsd	75514	74585	411	218	30	0	8	262
LK-1209	Divulapitiya	Divulapitiya	dsd	45072	44485	444	24	20	0	3	96
LK-1212	Mirigama	Mirigama	dsd	49823	49124	554	36	19	0	8	82
